Temperature,Humidity,Pressure,Altitude,Time,Rain
,19.15412572097298,,4093.3636560626437,,YES
,86.04979681701018,1022.4221761147394,1280.5875550582914,,NO
71.36225535187884,41.12573263296929,983.7339427868985,1966.1319746363001,,NO
78.55222491920766,,,4899.976346699858,4:54,YES
5.581213694699382,34.56407720634934,919.6663334494144,4330.214563381108,,YES
,,1057.9031515216682,,,YES
27.08412691279295,28.243109428390756,961.2670467571406,3581.46017827733,,NO
,81.44965737298125,,628.107589873994,3:22,YES
,34.14764608316118,995.9892865796356,1562.4876711626769,15:39,NO
26.0025266682403,48.820317582182746,934.1138449534943,2584.8978814445754,,NO
,32.661371666423456,954.610205387524,210.03096955995807,,YES
99.93942017339666,56.5886116255862,969.5008269453926,4024.268854707914,,NO
15.874524239213816,,,4444.113696015057,12:52,
10.294735505777597,,1073.6797997193569,248.0884440946329,18:29,YES
74.10399916019597,69.18730130658068,,4155.382813447188,,YES
57.50100786684735,4.172269140064233,994.528325694283,2771.3543301400896,0:26,NO
,9.350136273315723,1051.9525286365933,,,NO
65.98589206410509,79.67195931321218,999.7758785122155,-59.06620353467893,7:27,YES
87.63097798771503,29.9871312938338,1013.4020829377417,562.33699705959,,YES
,9.091920803315311,,,19:49,YES
2.9694887173560836,78.50869598979112,1047.5122251398184,139.78511874287088,,NO
65.86181132414627,12.17747529576867,983.4375315405119,404.79096697404174,,YES
70.76279262198656,4.895526515496451,1062.4261746345262,800.6334356105738,,NO
,67.15126291507224,958.5674261566548,943.9315843483203,5:54,NO
75.8876904087144,33.95747797484473,1014.9331506182157,1716.3704559086843,2:19,YES
44.20507200486563,47.933688556070756,1065.5273593950276,3587.2453750449763,,NO
55.92994037985295,53.01058158600519,1054.1712697411563,3279.915866822145,,
99.25166284674998,1.1435459166324047,903.6009329740823,4145.809506726657,21:0,YES
9.415155745327153,,1067.7216232524374,2395.0474615370886,,YES
80.76297083586141,79.73750940656471,,1469.5592417458838,,
59.75461419358893,,922.4782362259028,4163.815013717258,,NO
